"_time","src_ip",user,process,"command_line",sourcetype,host
"2018-08-20T14:01:01.000+0300",,,sudo,"",syslog,hoth
"2018-08-20T14:00:17.000+0300",,root,sudo,"",syslog,hoth
"2018-08-20T14:00:17.000+0300",,,sudo,"",syslog,hoth
"2018-08-20T14:01:11.000+0300",,,"","","osquery:results",hoth
"2018-08-20T14:01:11.000+0300",,,"","","osquery:results",hoth
"2018-08-20T13:08:35.000+0300",,svcvnc,"","",WinEventLog,"FYODOR-L"
"2018-08-20T13:08:17.000+0300",,svcvnc,"","",WinEventLog,"FYODOR-L"
"2018-08-20T13:08:17.000+0300","FYODOR-L.froth.ly",svcvnc,"","",WinEventLog,"FYODOR-L"
"2018-08-20T12:11:48.000+0300",,"DWM-1","C:\Windows\System32\winlogon.exe","",WinEventLog,"PCERF-L"
"2018-08-20T12:11:47.000+0300",,"UMFD-0","C:\Windows\System32\wininit.exe","",WinEventLog,"PCERF-L"
"2018-08-20T12:11:47.000+0300",,"UMFD-1","C:\Windows\System32\winlogon.exe","",WinEventLog,"PCERF-L"
