"_time","src_ip","dest_ip","dest_port","bytes_out",sourcetype,host
"2018-08-20T13:43:21.000+0300","85.111.77.167","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T13:43:27.000+0300","170.84.190.157","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T13:34:21.000+0300","201.108.69.205","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T13:19:21.000+0300","31.42.113.83","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T13:12:21.000+0300","116.238.154.254","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T13:11:20.000+0300","182.138.218.183","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T13:07:26.000+0300","45.65.159.142","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T13:12:26.000+0300","191.209.105.29","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:53:22.000+0300","113.178.73.251","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:45:21.000+0300","148.153.37.26","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:48:25.000+0300","216.70.52.33","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:20:31.000+0300","84.51.15.34","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:17:50.000+0300","123.21.85.30","172.16.1.210",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:22:54.000+0300","119.94.23.8","172.16.1.210",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:22:53.000+0300","110.138.171.202","172.16.1.196",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:20:53.000+0300","180.232.64.98","172.16.1.196",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:13:30.000+0300","111.93.140.158","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:11:30.000+0300","103.100.60.7","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:06:31.000+0300","122.2.5.58","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:11:50.000+0300","128.140.30.66","172.16.1.196",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:10:50.000+0300","41.223.49.199","172.16.1.196",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:09:49.000+0300","128.140.30.66","172.16.1.196",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:07:50.000+0300","41.78.210.230","172.16.1.196",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:05:50.000+0300","82.138.61.58","172.16.1.196",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:02:50.000+0300","223.165.0.155","172.16.1.210",139,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:02:54.000+0300","223.165.0.155","172.16.1.196",139,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T15:54:25.000+0300","171.233.187.241","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T15:49:25.000+0300","190.215.74.2","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T14:51:21.000+0300","112.133.244.175","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T14:41:29.000+0300","201.247.149.54","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T14:31:24.000+0300","197.50.105.126","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T14:24:28.000+0300","200.199.142.163","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T14:20:21.000+0300","178.135.80.202","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T14:04:27.000+0300","209.126.136.5","172.16.1.239",139,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:43:15.000+0300","1.161.91.241","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:43:15.000+0300","36.74.102.92","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:38:14.000+0300","103.244.241.63","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:39:24.000+0300","36.72.215.37","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:38:26.000+0300","113.190.253.249","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:31:26.000+0300","203.174.11.34","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:30:14.000+0300","148.153.36.34","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:34:14.000+0300","103.36.52.128","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:33:14.000+0300","162.209.188.9","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:29:14.000+0300","171.229.219.159","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:28:14.000+0300","103.226.141.14","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:26:14.000+0300","113.23.217.2","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:29:25.000+0300","148.153.36.34","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:24:26.000+0300","94.49.240.147","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:21:26.000+0300","47.89.253.244","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:21:26.000+0300","95.141.141.39","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:13:05.000+0300","1.1.220.216","172.16.1.114",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:10:08.000+0300","85.26.249.156","172.16.1.114",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:12:26.000+0300","190.248.156.82","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:11:26.000+0300","223.165.0.155","172.16.0.178",139,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:15:40.000+0300","152.249.20.54","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:12:40.000+0300","113.160.226.167","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:08:05.000+0300","49.231.4.37","172.16.0.145",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:06:05.000+0300","123.25.116.113","172.16.0.145",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:03:05.000+0300","196.202.117.110","172.16.1.114",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:04:26.000+0300","118.70.125.20","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:00:32.000+0300","180.254.53.92","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:00:32.000+0300","185.100.222.72","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:53:05.000+0300","185.100.222.72","172.16.0.145",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:56:05.000+0300","203.130.237.70","172.16.1.114",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:52:07.000+0300","185.100.222.72","172.16.1.114",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:52:25.000+0300","203.205.52.17","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:47:25.000+0300","186.90.138.237","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:51:39.000+0300","92.50.225.230","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:49:05.000+0300","92.126.11.114","172.16.0.145",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:45:04.000+0300","77.87.77.143","172.16.0.145",139,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:43:04.000+0300","94.29.124.71","172.16.0.145",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:43:04.000+0300","113.161.75.218","172.16.0.145",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:43:04.000+0300","92.45.29.242","172.16.0.145",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:46:09.000+0300","14.171.52.180","172.16.1.114",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:45:09.000+0300","77.87.77.143","172.16.1.114",139,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:38:32.000+0300","122.3.7.19","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:36:04.000+0300","182.253.101.202","172.16.0.145",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:31:32.000+0300","38.83.109.182","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:26:48.000+0300","114.34.64.237","172.16.1.210",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:26:31.000+0300","206.161.217.223","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:34:34.000+0300","61.12.89.193","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:31:34.000+0300","14.17.81.95","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T16:28:55.000+0300","103.232.242.198","172.16.1.196",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T18:08:24.000+0300","189.244.162.84","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T18:08:32.000+0300","181.44.32.34","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:58:24.000+0300","190.203.82.134","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:49:24.000+0300","121.8.216.51","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:49:24.000+0300","216.184.100.84","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:49:24.000+0300","121.8.216.51","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:49:24.000+0300","216.184.100.84","172.16.0.178",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:46:47.000+0300","119.2.51.6","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:43:47.000+0300","202.178.118.2","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:39:48.000+0300","177.17.116.23","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:35:41.000+0300","122.248.45.43","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:34:47.000+0300","61.153.237.122","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:32:48.000+0300","190.206.25.79","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:32:48.000+0300","113.22.57.127","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:31:48.000+0300","190.216.204.14","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:29:35.000+0300","1.163.76.206","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:31:43.000+0300","27.72.61.132","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:26:45.000+0300","14.161.20.26","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:25:41.000+0300","103.28.226.110","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:23:11.000+0300","162.44.250.26","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T17:21:41.000+0300","14.172.124.15","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T13:43:40.000+0300","192.168.8.103","192.168.9.26",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:40.000+0300","192.168.8.103","192.168.9.26",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:40.000+0300","192.168.8.103","192.168.9.26",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:40.000+0300","192.168.8.103","192.168.9.27",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:40.000+0300","192.168.8.103","192.168.9.26",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:40.000+0300","192.168.8.103","192.168.9.27",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:40.000+0300","192.168.8.103","192.168.9.25",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.26",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.25",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.26",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.26",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.26",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.25",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.25",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.25",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.26",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.25",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:39.000+0300","192.168.8.103","192.168.9.26",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:38.000+0300","192.168.8.103","192.168.9.25",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:38.000+0300","192.168.8.103","192.168.9.25",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:38.000+0300","192.168.8.103","192.168.9.25",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:38.000+0300","192.168.8.103","192.168.9.25",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:38.000+0300","192.168.8.103","192.168.9.25",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:38.000+0300","192.168.8.103","192.168.9.25",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:37.000+0300","192.168.8.103","192.168.9.24",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:37.000+0300","192.168.8.103","192.168.9.24",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:36.000+0300","192.168.8.103","192.168.9.23",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:36.000+0300","192.168.8.103","192.168.9.23",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:34.000+0300","192.168.8.103","192.168.9.22",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:34.000+0300","192.168.8.103","192.168.9.22",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:32.000+0300","192.168.8.103","192.168.9.21",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:32.000+0300","192.168.8.103","192.168.9.21",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:31.000+0300","192.168.8.103","192.168.9.20",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:31.000+0300","192.168.8.103","192.168.9.20",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:30.000+0300","192.168.8.103","192.168.9.19",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:30.000+0300","192.168.8.103","192.168.9.19",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:29.000+0300","192.168.8.103","192.168.9.18",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:28.000+0300","192.168.8.103","192.168.9.18",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:27.000+0300","192.168.8.103","192.168.9.17",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:27.000+0300","192.168.8.103","192.168.9.17",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:26.000+0300","192.168.8.103","192.168.9.16",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:26.000+0300","192.168.8.103","192.168.9.16",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:25.000+0300","192.168.8.103","192.168.9.15",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:25.000+0300","192.168.8.103","192.168.9.15",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:24.000+0300","192.168.8.103","192.168.9.14",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:24.000+0300","192.168.8.103","192.168.9.14",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:23.000+0300","192.168.8.103","192.168.9.13",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:23.000+0300","192.168.8.103","192.168.9.13",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:22.000+0300","192.168.8.103","192.168.9.12",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:22.000+0300","192.168.8.103","192.168.9.12",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:21.000+0300","192.168.8.103","192.168.9.11",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:21.000+0300","192.168.8.103","192.168.9.11",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:20.000+0300","192.168.8.103","192.168.9.10",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:20.000+0300","192.168.8.103","192.168.9.10",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:19.000+0300","192.168.8.103","192.168.9.9",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:19.000+0300","192.168.8.103","192.168.9.9",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:18.000+0300","192.168.8.103","192.168.9.8",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:18.000+0300","192.168.8.103","192.168.9.8",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:17.000+0300","192.168.8.103","192.168.9.7",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:17.000+0300","192.168.8.103","192.168.9.7",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:16.000+0300","192.168.8.103","192.168.9.6",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:16.000+0300","192.168.8.103","192.168.9.6",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:15.000+0300","192.168.8.103","192.168.9.5",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:14.000+0300","192.168.8.103","192.168.9.5",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:13.000+0300","192.168.8.103","192.168.9.4",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:13.000+0300","192.168.8.103","192.168.9.4",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:12.000+0300","192.168.8.103","192.168.9.3",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:12.000+0300","192.168.8.103","192.168.9.3",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:12.000+0300","192.168.8.103","192.168.9.1",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:12.000+0300","192.168.8.103","192.168.9.1",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:12.000+0300","192.168.8.103","192.168.9.1",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.1",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.1",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.2",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.1",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.2",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.1",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.1",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.1",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:11.000+0300","192.168.8.103","192.168.9.1",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:10.000+0300","192.168.8.103","192.168.9.1",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:43:10.000+0300","192.168.8.103","192.168.9.1",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:10.000+0300","192.168.8.103","192.168.9.27",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:10.000+0300","192.168.8.103","192.168.9.27",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:09.000+0300","192.168.8.103","192.168.9.50",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:07.000+0300","192.168.8.103","192.168.9.24",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:07.000+0300","192.168.8.103","192.168.9.24",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:06.000+0300","192.168.8.103","192.168.9.50",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:06.000+0300","192.168.8.103","192.168.9.23",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:06.000+0300","192.168.8.103","192.168.9.23",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:05.000+0300","192.168.8.103","192.168.9.50",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:05.000+0300","192.168.8.103","192.168.9.50",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:05.000+0300","192.168.8.103","192.168.9.50",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:04.000+0300","192.168.8.103","192.168.9.50",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:04.000+0300","192.168.8.103","192.168.9.22",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:04.000+0300","192.168.8.103","192.168.9.22",139,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:04.000+0300","192.168.8.103","192.168.9.50",445,,"cisco:asa","FROTHLY-FW1"
"2018-08-20T13:44:04.000+0300","192.168.8.103","192.168.9.50",139,,"cisco:asa","FROTHLY-FW1"
